832
1871
1227   16   15    0
1228   15   16    1
1229   15   16    0
1230   15   15    1
1231   15   15    0
1280   12   17    0
1281   12   17    1
1282   12   18    0
1283   12   18    1
1284   11   17    0
1285   11   17    1
1286   11   18    0
1287   11   18    1
1288    9   18    1
1289    9   18    0
1290    9   17    1
1291    9   17    0
1292   10   18    1
1293   10   18    0
1294   10   17    1
1295   10   17    0
1312    4   18    0
1313    4   18    1
1314    4   17    0
1315    4   17    1
1316    3   18    0
1317    3   18    1
1318    3   17    0
1319    3   17    1
1320    1   17    1
1321    1   17    0
1322    1   18    1
1323    1   18    0
1324    2   17    1
1325    2   17    0
1326    2   18    1
1327    2   18    0
1328    5   18    0
1329    5   18    1
1330    5   17    0
1331    5   17    1
1332    6   18    0
1333    6   18    1
1334    6   17    0
1335    6   17    1
1336    8   17    1
1337    8   17    0
1338    8   18    1
1339    8   18    0
1340    7   17    1
1341    7   17    0
1342    7   18    1
1343    7   18    0
1344   13   17    0
1345   13   17    1
1346   13   18    0
1347   13   18    1
1348   14   17    0
1349   14   17    1
1350   14   18    0
1351   14   18    1
1352   16   18    1
1353   16   18    0
1354   16   17    1
1355   16   17    0
1356   15   18    1
1357   15   18    0
1358   15   17    1
1359   15   17    0
1408   12   19    0
1409   12   19    1
1410   12   20    0
1411   12   20    1
1412   11   19    0
1413   11   19    1
1414   11   20    0
1415   11   20    1
1416    9   20    1
1417    9   20    0
1418    9   19    1
1419    9   19    0
1420   10   20    1
1421   10   20    0
1422   10   19    1
1423   10   19    0
1440    4   20    0
1441    4   20    1
1442    4   19    0
1443    4   19    1
1444    3   20    0
1445    3   20    1
1446    3   19    0
1447    3   19    1
1448    1   19    1
1449    1   19    0
1450    1   20    1
1451    1   20    0
1452    2   19    1
1453    2   19    0
1454    2   20    1
1455    2   20    0
1456    5   20    0
1457    5   20    1
1458    5   19    0
1459    5   19    1
1460    6   20    0
1461    6   20    1
1462    6   19    0
1463    6   19    1
1464    8   19    1
1465    8   19    0
1466    8   20    1
1467    8   20    0
1468    7   19    1
1469    7   19    0
1470    7   20    1
1471    7   20    0
1472   13   19    0
1473   13   19    1
1474   13   20    0
1475   13   20    1
1476   14   19    0
1477   14   19    1
1478   14   20    0
1479   14   20    1
